epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1905,0.89341,3.46407,0.98579,0.02242,0.98639,0.32688,0.25575,0.63891,3.29511,0.7682,0.00018577,0.00018577,0.00018577
2,24.7197,0.7155,2.68663,0.88126,0.01822,0.97279,0.5292,0.3686,0.69269,3.23594,0.78577,0.000379464,0.000379464,0.000379464
3,27.6344,0.69659,1.71188,0.87088,0.01647,0.9589,0.5604,0.4414,0.69543,3.0628,0.79508,0.000566556,0.000566556,0.000566556
4,30.281,0.64912,0.93608,0.88575,1,0.11341,0.51139,0.38861,0.62283,2.74485,0.80694,0.000747045,0.000747045,0.000747045
5,32.9397,0.6379,0.71206,0.86818,0.9657,0.37792,0.92387,0.78564,0.60178,2.07123,0.80253,0.000920933,0.000920933,0.000920933
6,35.7219,0.56648,0.62568,0.86746,0.9257,0.82721,0.95183,0.81254,0.53244,1.53189,0.7836,0.00108822,0.00108822,0.00108822
7,39.2701,0.54178,0.60115,0.86787,0.9015,0.91499,0.96427,0.84944,0.51157,1.14295,0.79275,0.0012489,0.0012489,0.0012489
8,41.8913,0.56113,0.57091,0.85861,0.98606,0.96575,0.98542,0.8531,0.51195,0.79739,0.78554,0.00126395,0.00126395,0.00126395
9,44.424,0.53967,0.56392,0.85058,0.98817,0.97019,0.98722,0.88075,0.47769,0.63285,0.77512,0.00124037,0.00124037,0.00124037
10,46.9772,0.50019,0.53068,0.84509,0.97852,0.97543,0.98108,0.86619,0.45556,0.545,0.77602,0.00121679,0.00121679,0.00121679
11,50.2856,0.48518,0.51395,0.84736,0.98143,0.96904,0.97922,0.88341,0.42192,0.49425,0.76976,0.00119322,0.00119322,0.00119322
12,53.2595,0.46445,0.49431,0.8379,0.99585,0.97124,0.98758,0.89552,0.41506,0.43244,0.77376,0.00116964,0.00116964,0.00116964
13,55.9364,0.46315,0.49272,0.84033,0.99452,0.97279,0.99317,0.88718,0.45118,0.43479,0.77712,0.00114606,0.00114606,0.00114606
14,58.5453,0.45116,0.4679,0.83347,0.99547,0.97467,0.99164,0.9101,0.39218,0.40237,0.76829,0.00112248,0.00112248,0.00112248
15,61.223,0.44726,0.46144,0.84328,0.99597,0.98447,0.99391,0.88874,0.44806,0.40506,0.77714,0.0010989,0.0010989,0.0010989
16,64.9568,0.43323,0.4473,0.83221,0.99568,0.98584,0.99335,0.91056,0.38729,0.3965,0.77329,0.00107532,0.00107532,0.00107532
17,67.5094,0.42738,0.43875,0.82742,0.99143,0.98278,0.99346,0.90565,0.36878,0.36323,0.7616,0.00105174,0.00105174,0.00105174
18,70.2372,0.43605,0.44652,0.82836,0.98667,0.98639,0.99356,0.91104,0.36512,0.34973,0.76402,0.00102817,0.00102817,0.00102817
19,72.9736,0.43217,0.43646,0.83051,0.98822,0.98637,0.99414,0.90808,0.37718,0.35752,0.76086,0.00100459,0.00100459,0.00100459
20,76.5698,0.43394,0.42684,0.83494,0.99409,0.974,0.99357,0.91216,0.37674,0.36282,0.76732,0.000981008,0.000981008,0.000981008
21,79.3346,0.43057,0.41964,0.83235,0.99556,0.98384,0.99378,0.91915,0.36122,0.34415,0.76446,0.00095743,0.00095743,0.00095743
22,81.8953,0.40298,0.41163,0.82644,0.99211,0.98965,0.99487,0.91243,0.39303,0.34971,0.76681,0.000933851,0.000933851,0.000933851
23,84.4703,0.39888,0.40673,0.82803,0.98162,0.99637,0.99487,0.92946,0.35055,0.32975,0.76205,0.000910273,0.000910273,0.000910273
